Report Month,Traffic Level,Traffic Flow
07/01/2022 12:00:00 AM,1 - light traffic,9200
01/01/2021 12:00:00 AM,1 - light traffic,0
12/01/2021 12:00:00 AM,1 - light traffic,7122
08/01/2020 12:00:00 AM,4 - stand still,546
05/01/2019 12:00:00 AM,3 - heavy traffic,86490
10/01/2020 12:00:00 AM,0- free flowing,45752
06/01/2021 12:00:00 AM,0- free flowing,65576
05/01/2019 12:00:00 AM,2 - medium traffic,40590
03/01/2021 12:00:00 AM,1 - light traffic,0
04/01/2023 12:00:00 AM,0- free flowing,636831
02/01/2023 12:00:00 AM,4 - stand still,12943
10/01/2022 12:00:00 AM,4 - stand still,44208.5
06/01/2021 12:00:00 AM,3 - heavy traffic,7743
04/01/2021 12:00:00 AM,0- free flowing,7356
08/01/2019 12:00:00 AM,4 - stand still,387327.5
08/01/2019 12:00:00 AM,0- free flowing,5025128
06/01/2019 12:00:00 AM,2 - medium traffic,107980
12/01/2021 12:00:00 AM,4 - stand still,34009.5
09/01/2020 12:00:00 AM,0- free flowing,43808
07/01/2022 12:00:00 AM,0- free flowing,588405
07/01/2021 12:00:00 AM,1 - light traffic,10416
01/01/2022 12:00:00 AM,1 - light traffic,2248
10/01/2020 12:00:00 AM,1 - light traffic,26
06/01/2023 12:00:00 AM,4 - stand still,4480
12/01/2020 12:00:00 AM,4 - stand still,0
11/01/2020 12:00:00 AM,1 - light traffic,0
04/01/2022 12:00:00 AM,4 - stand still,20860
06/01/2020 12:00:00 AM,4 - stand still,1403.5
11/01/2021 12:00:00 AM,3 - heavy traffic,99813
07/01/2021 12:00:00 AM,0- free flowing,598568
12/01/2019 12:00:00 AM,1 - light traffic,17964
09/01/2022 12:00:00 AM,1 - light traffic,6390
10/01/2020 12:00:00 AM,3 - heavy traffic,330
05/01/2022 12:00:00 AM,3 - heavy traffic,66816
12/01/2019 12:00:00 AM,3 - heavy traffic,289173
05/01/2020 12:00:00 AM,3 - heavy traffic,243
09/01/2019 12:00:00 AM,1 - light traffic,20794
02/01/2020 12:00:00 AM,2 - medium traffic,53042.5
12/01/2019 12:00:00 AM,0- free flowing,1259655
05/01/2020 12:00:00 AM,1 - light traffic,38
02/01/2022 12:00:00 AM,0- free flowing,417512
06/01/2022 12:00:00 AM,0- free flowing,568372
11/01/2019 12:00:00 AM,0- free flowing,1157026
11/01/2019 12:00:00 AM,4 - stand still,81970
09/01/2020 12:00:00 AM,3 - heavy traffic,1209
04/01/2020 12:00:00 AM,0- free flowing,252768
09/01/2022 12:00:00 AM,4 - stand still,24139.5
08/01/2021 12:00:00 AM,1 - light traffic,4844
09/01/2021 12:00:00 AM,3 - heavy traffic,44187
08/01/2022 12:00:00 AM,1 - light traffic,6622
01/01/2023 12:00:00 AM,1 - light traffic,3022
10/01/2021 12:00:00 AM,2 - medium traffic,60645
11/01/2019 12:00:00 AM,2 - medium traffic,114127.5
07/01/2022 12:00:00 AM,4 - stand still,28980
10/01/2022 12:00:00 AM,2 - medium traffic,60750
07/01/2020 12:00:00 AM,2 - medium traffic,450
12/01/2020 12:00:00 AM,2 - medium traffic,0
10/01/2021 12:00:00 AM,1 - light traffic,10154
05/01/2019 12:00:00 AM,0- free flowing,402753
09/01/2022 12:00:00 AM,3 - heavy traffic,67194
05/01/2020 12:00:00 AM,4 - stand still,738.5
12/01/2019 12:00:00 AM,4 - stand still,111006
03/01/2020 12:00:00 AM,0- free flowing,434439
07/01/2019 12:00:00 AM,2 - medium traffic,154432.5
05/01/2022 12:00:00 AM,1 - light traffic,7436
04/01/2020 12:00:00 AM,1 - light traffic,106
03/01/2022 12:00:00 AM,4 - stand still,20713
12/01/2020 12:00:00 AM,1 - light traffic,0
02/01/2022 12:00:00 AM,3 - heavy traffic,28923
06/01/2023 12:00:00 AM,2 - medium traffic,12300
12/01/2022 12:00:00 AM,4 - stand still,42514.5
11/01/2022 12:00:00 AM,2 - medium traffic,57817.5
05/01/2021 12:00:00 AM,4 - stand still,857.5
04/01/2020 12:00:00 AM,2 - medium traffic,572.5
10/01/2019 12:00:00 AM,4 - stand still,88805.5
04/01/2022 12:00:00 AM,0- free flowing,546867
08/01/2019 12:00:00 AM,2 - medium traffic,358767.5
10/01/2021 12:00:00 AM,0- free flowing,554352
01/01/2022 12:00:00 AM,0- free flowing,422951
11/01/2022 12:00:00 AM,3 - heavy traffic,94149
03/01/2021 12:00:00 AM,0- free flowing,28080
09/01/2022 12:00:00 AM,2 - medium traffic,48315
05/01/2023 12:00:00 AM,4 - stand still,13226.5
04/01/2022 12:00:00 AM,1 - light traffic,7256
05/01/2023 12:00:00 AM,0- free flowing,425185
04/01/2022 12:00:00 AM,3 - heavy traffic,75447
06/01/2023 12:00:00 AM,0- free flowing,118206
11/01/2020 12:00:00 AM,3 - heavy traffic,0
11/01/2021 12:00:00 AM,0- free flowing,525612
10/01/2019 12:00:00 AM,2 - medium traffic,119322.5
12/01/2020 12:00:00 AM,3 - heavy traffic,0
02/01/2020 12:00:00 AM,4 - stand still,52745
03/01/2020 12:00:00 AM,3 - heavy traffic,44499
05/01/2019 12:00:00 AM,1 - light traffic,6048
12/01/2019 12:00:00 AM,2 - medium traffic,146080
01/01/2023 12:00:00 AM,4 - stand still,18179
07/01/2022 12:00:00 AM,3 - heavy traffic,78057
07/01/2019 12:00:00 AM,4 - stand still,120477
01/01/2020 12:00:00 AM,2 - medium traffic,48422.5
02/01/2022 12:00:00 AM,4 - stand still,8064
04/01/2023 12:00:00 AM,4 - stand still,25361
05/01/2023 12:00:00 AM,3 - heavy traffic,51882
09/01/2019 12:00:00 AM,4 - stand still,82995.5
05/01/2021 12:00:00 AM,2 - medium traffic,60
09/01/2019 12:00:00 AM,2 - medium traffic,132662.5
12/01/2020 12:00:00 AM,0- free flowing,51893
11/01/2020 12:00:00 AM,4 - stand still,0
08/01/2021 12:00:00 AM,2 - medium traffic,32150
07/01/2019 12:00:00 AM,0- free flowing,1765064
06/01/2019 12:00:00 AM,1 - light traffic,15466
05/01/2020 12:00:00 AM,2 - medium traffic,52.5
09/01/2019 12:00:00 AM,0- free flowing,1682485
12/01/2021 12:00:00 AM,0- free flowing,538132
05/01/2019 12:00:00 AM,4 - stand still,34030.5
04/01/2021 12:00:00 AM,2 - medium traffic,42.5
02/01/2023 12:00:00 AM,2 - medium traffic,21630
07/01/2022 12:00:00 AM,2 - medium traffic,62562.5
01/01/2020 12:00:00 AM,0- free flowing,1139113
03/01/2020 12:00:00 AM,1 - light traffic,2830
11/01/2019 12:00:00 AM,3 - heavy traffic,202398
12/01/2022 12:00:00 AM,2 - medium traffic,55932.5
04/01/2023 12:00:00 AM,3 - heavy traffic,87006
03/01/2021 12:00:00 AM,2 - medium traffic,0
11/01/2020 12:00:00 AM,0- free flowing,47893
08/01/2021 12:00:00 AM,0- free flowing,517295
02/01/2022 12:00:00 AM,2 - medium traffic,23432.5
04/01/2020 12:00:00 AM,3 - heavy traffic,4281
06/01/2021 12:00:00 AM,4 - stand still,2775.5
12/01/2022 12:00:00 AM,1 - light traffic,7282
06/01/2022 12:00:00 AM,4 - stand still,27947.5
01/01/2022 12:00:00 AM,4 - stand still,11011
09/01/2021 12:00:00 AM,4 - stand still,10780
10/01/2020 12:00:00 AM,2 - medium traffic,197.5
03/01/2021 12:00:00 AM,3 - heavy traffic,0
06/01/2020 12:00:00 AM,1 - light traffic,58
02/01/2020 12:00:00 AM,3 - heavy traffic,137025
03/01/2023 12:00:00 AM,3 - heavy traffic,106470
08/01/2021 12:00:00 AM,4 - stand still,19043.5
10/01/2021 12:00:00 AM,3 - heavy traffic,88458
06/01/2020 12:00:00 AM,0- free flowing,46236
03/01/2022 12:00:00 AM,3 - heavy traffic,86745
11/01/2022 12:00:00 AM,0- free flowing,578586
07/01/2021 12:00:00 AM,2 - medium traffic,85120
03/01/2023 12:00:00 AM,4 - stand still,36162
03/01/2021 12:00:00 AM,4 - stand still,0
01/01/2021 12:00:00 AM,0- free flowing,51962
02/01/2022 12:00:00 AM,1 - light traffic,3418
07/01/2020 12:00:00 AM,3 - heavy traffic,1524
01/01/2020 12:00:00 AM,1 - light traffic,6530
08/01/2020 12:00:00 AM,3 - heavy traffic,600
07/01/2020 12:00:00 AM,0- free flowing,47197
04/01/2023 12:00:00 AM,1 - light traffic,7484
06/01/2023 12:00:00 AM,1 - light traffic,1756
09/01/2020 12:00:00 AM,2 - medium traffic,345
01/01/2021 12:00:00 AM,3 - heavy traffic,0
09/01/2019 12:00:00 AM,3 - heavy traffic,250596
10/01/2022 12:00:00 AM,3 - heavy traffic,101433
01/01/2020 12:00:00 AM,3 - heavy traffic,125064
04/01/2022 12:00:00 AM,2 - medium traffic,50102.5
01/01/2023 12:00:00 AM,2 - medium traffic,19532.5
01/01/2022 12:00:00 AM,2 - medium traffic,9605
02/01/2020 12:00:00 AM,1 - light traffic,9010
01/01/2023 12:00:00 AM,0- free flowing,513558
02/01/2021 12:00:00 AM,3 - heavy traffic,0
06/01/2021 12:00:00 AM,2 - medium traffic,4192.5
03/01/2023 12:00:00 AM,2 - medium traffic,59867.5
07/01/2020 12:00:00 AM,1 - light traffic,396
03/01/2020 12:00:00 AM,2 - medium traffic,17880
10/01/2019 12:00:00 AM,3 - heavy traffic,209295
02/01/2023 12:00:00 AM,0- free flowing,479412
09/01/2021 12:00:00 AM,2 - medium traffic,32290
10/01/2021 12:00:00 AM,4 - stand still,29414
05/01/2021 12:00:00 AM,3 - heavy traffic,267
11/01/2021 12:00:00 AM,2 - medium traffic,52950
01/01/2021 12:00:00 AM,4 - stand still,0
09/01/2022 12:00:00 AM,0- free flowing,555427
03/01/2020 12:00:00 AM,4 - stand still,17759
