PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,LOCATION_SOURCE,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,PRIMARY_ST_ALPHABETICAL,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Tooles Bend Rd,S of Northshore Dr,Knox,093M264,TPO,TPO,,,ACTIVE,,Tooles Bend Rd,-84.04080891,35.87751784,1211,,1164,,1370,,1420,,1308,,1333,,,,,,,1670,,,1540,,,1560
SR001,NE OF JOPPA,Grainger,29000026,TDOT,TDOT,,57000026,ACTIVE,,,-83.6099078,36.24077893,5247,5011,5185,4720,4846,4991,4736,4754,4798,5442,5229,4788,5047,4985,5072,4875,4726,5408,5512,5579,5754,5438,5076,5360
1328,HOLE GAP - NE OF JOPPA,Grainger,29000027,TDOT,TDOT,,57000027,ACTIVE,,,-83.6010678,36.24040493,1932,1985,1566,1857,1834,1889,1596,1654,1704,1582,1567,1499,1581,1563,1485,1562,1486,1561,1713,1413,1734,1723,1496,1518
1330,JACKSON - N. OF BUFFALO SPRINGS,Grainger,29000028,TDOT,TDOT,,57000028,ACTIVE,,,-83.55637279,36.22620793,599,611,607,606,580,589,611,619,668,597,637,520,689,550,514,540,550,600,577,621,652,747,545,619
1330,W. OF CENTRAL POINT,Grainger,29000029,TDOT,TDOT,,57000029,ACTIVE,,,-83.51752877,36.24916294,495,518,627,511,644,663,627,655,682,703,586,569,560,742,626,616,664,645,656,964,837,606,1231,701
SR033,NEAR BLOUNT CO LINE,Loudon,53000044,TDOT,TDOT,,105000044,ACTIVE,,,-84.14213593,35.64550279,9382,10610,10300,12334,13018,13056,13019,14468,13747,12475,13911,13006,,14299,13540,14353,14202,13990,14090,15076,14300,12280,16556,16175
SR073,EAST LENOIR CITY,Loudon,53000047,TDOT,TDOT,,105000047,ACTIVE,,,-84.24336296,35.79278582,15276,15581,14652,16705,16393,17302,18476,19130,20135,17845,17075,17306,,20553,20998,21168,21407,21621,21913,19565,24100,21594,,
I0040,WEST OF SR-95 INTERCHANGE,Loudon,53000048,TDOT,TPO,,105000048,ACTIVE,,,-84.33340325,35.87879631,36428,38899,41284,41206,42442,44109,45456,46803,42308,41591,38454,39014,,41550,39400,40184,41612,42790,40795,45490,44316,39707,42725,52266
I0040,EAST OF SR-95 INTERCHANGE,Loudon,53000049,TDOT,TPO,,105000049,ACTIVE,,,-84.31558947,35.87091055,36430,36314,39301,41790,37938,39215,39632,41343,45332,40983,38090,38644,,40398,38784,39130,40932,41163,39882,45087,43361,38851,41804,50425
Lovell Rd,NE of Thompson Rd,Knox,47000085,TDOT,TDOT,,93000085,ACTIVE,,Lovell Rd,-84.13077194,35.94574385,7320,7840,8590,8733,8778,9137,11341,11748,10914,11854,11615,10294,11685,12944,11970,12325,12565,13964,15371,14076,15485,13731,15927,15462
