title,url,type,last_checked,path
Regional Transportation Authority Bus Routes (GIS) | Nashville Open Data Portal,https://data.nashville.gov/api/views/kaau-hhd5/rows.csv?accessType=DOWNLOAD,csv,1687381303.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/Regional Transportation Authority Bus Routes (GIS) | Nashville Open Data Portal/Regional Transportation Authority Bus Routes (GIS) | Nashville Open Data Portal-0.csv
Bike Racks (GIS) | Nashville Open Data Portal,https://data.nashville.gov/api/views/yjju-hypq/rows.csv?accessType=DOWNLOAD,csv,1687381304.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/Bike Racks (GIS) | Nashville Open Data Portal/Bike Racks (GIS) | Nashville Open Data Portal-0.csv
Metropolitan Transit Authority Bus Routes (GIS) | Nashville Open Data Portal,https://data.nashville.gov/api/views/22t2-bdkj/rows.csv?accessType=DOWNLOAD,csv,1687381305.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/Metropolitan Transit Authority Bus Routes (GIS) | Nashville Open Data Portal/Metropolitan Transit Authority Bus Routes (GIS) | Nashville Open Data Portal-0.csv
Regional Transportation Authority Bus Stops | Nashville Open Data Portal,https://data.nashville.gov/api/views/p886-fnbd/rows.csv?accessType=DOWNLOAD,csv,1687381307.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/Regional Transportation Authority Bus Stops | Nashville Open Data Portal/Regional Transportation Authority Bus Stops | Nashville Open Data Portal-0.csv
Sidewalk Inventory for ADA Self-Assessment | Nashville Open Data Portal,https://data.nashville.gov/api/views/vpxc-b5te/rows.csv?accessType=DOWNLOAD,csv,1687381317.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/Sidewalk Inventory for ADA Self-Assessment | Nashville Open Data Portal/Sidewalk Inventory for ADA Self-Assessment | Nashville Open Data Portal-0.csv
WeGo Transit and Middle TN RTA Stops and Routes (GTFS) | Nashville Open Data Portal,https://data.nashville.gov/download/2246-gtr4/application%2Fzip,zip,1687381318.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/WeGo Transit and Middle TN RTA Stops and Routes (GTFS) | Nashville Open Data Portal/April 2021/
WeGo Transit Bus Stops | Nashville Open Data Portal,https://data.nashville.gov/api/views/vfe9-k7vc/rows.csv?accessType=DOWNLOAD,csv,1687381319.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/WeGo Transit Bus Stops | Nashville Open Data Portal/WeGo Transit Bus Stops | Nashville Open Data Portal-0.csv
MATA Transit map,https://www.matatransit.com/assets/2/6/MATA_November_2021_System_Map.pdf,pdf,1687381319.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/MATA Transit map/MATA Transit map-0.pdf
Chattanooga Traffic Flow | Chattanooga Open Data Portal,https://www.chattadata.org/api/views/55g4-zatm/rows.csv?date=20230608&accessType=DOWNLOAD,csv,1687381320.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/Chattanooga Traffic Flow | Chattanooga Open Data Portal/Chattanooga Traffic Flow | Chattanooga Open Data Portal-0.csv
Chattanooga Traffic Flow | Chattanooga Open Data Portal,https://www.chattadata.org/api/views/v868-x5mt/rows.csv?date=20230608&accessType=DOWNLOAD,csv,1687381322.0,/Users/thatswhaticed/Coding/SMaRT/Transportation_Data_Manager/Data/Chattanooga Traffic Flow | Chattanooga Open Data Portal/Chattanooga Traffic Flow | Chattanooga Open Data Portal-1.csv
